student_id,minutes_watched,paid_in_q2
2157,8.9333,1
2160,51.1167,1
2162,114.65,1
2167,3548.4167,1
2170,13.2,1
2185,1931.7,1
2187,643.3833,1
2188,856.5333,1
2190,839.3,1
2195,806.9667,1
2207,332.4,1
2213,76.5667,1
2217,128.1,1
2218,2010.3333,1
2222,10.15,1
2229,8043.9333,1
2231,131.4167,1
2233,661.2667,1
2236,55.1,1
2248,2796.4667,1
2255,35.8333,1
2256,83.9333,1
2258,2155.9333,1
2265,90.55,1
2266,162.2333,1
2267,92.4,1
2274,1106.35,1
2275,0.75,1
2278,0.6667,1
2284,271.8667,1
2290,440.9333,1
2292,17.0,1
2295,24.1667,1
2303,515.25,1
2304,586.05,1
2306,20.45,1
2308,3.4,1
2312,51.25,1
2318,7.1667,1
2324,6209.5,1
2332,68.2667,1
2335,36.3833,1
2338,42.35,1
2339,1093.6,1
2340,150.0,1
2351,56.25,1
2354,1848.6667,1
2359,52.1667,1
2362,125.0833,1
2364,4769.2,1
2375,179.4,1
2377,185.75,1
2385,367.6167,1
2397,1425.2667,1
2398,0.8333,1
2403,2.3667,1
2406,72.0,1
2409,3297.9,1
2410,462.6833,1
2414,219.8167,1
2417,141.7,1
2429,48.35,1
2431,25.1667,1
2437,216.65,1
2441,376.0,1
2447,574.2833,1
2463,20.95,1
2495,0.3667,1
2501,1885.65,1
2506,34.5,1
2516,72.4,1
2529,169.3333,1
2536,1810.7667,1
2544,31.4,1
2546,287.6,1
2550,28.85,1
2555,211.6,1
2575,155.7,1
2577,3.45,1
2582,3155.0333,1
2591,10045.6,1
2617,158.3667,1
2620,147.0667,1
2621,221.1167,1
2622,15.8667,1
2629,648.2,1
2630,180.1,1
2636,4462.7,1
2641,4.6,1
2642,148.7167,1
2644,314.3333,1
2650,30.2,1
2651,57.9167,1
2653,1338.8,1
2655,162.0,1
2657,140.8333,1
2661,5.1833,1
2663,203.8333,1
2671,10.3833,1
2685,24.35,1
2688,826.3333,1
2692,473.75,1
2698,84.3333,1
2706,918.1833,1
2708,0.3333,1
2710,17.15,1
2719,98.4,1
2723,229.5667,1
2725,53.8,1
2726,13.1667,1
2731,119.5,1
2738,0.2833,1
2741,4.5,1
2743,11.2333,1
2750,14.9833,1
2754,901.2833,1
2761,0.3,1
2764,475.15,1
2772,1272.7833,1
2774,557.95,1
2793,158.5667,1
2797,39.5833,1
2803,182.3833,1
2805,248.6167,1
2811,7851.7,1
2813,34.7,1
2815,1863.4,1
2819,81.15,1
2820,0.3167,1
2821,351.25,1
2824,43.9333,1
2825,2.3333,1
2826,24.4333,1
2827,3307.1333,1
2830,2508.2,1
2831,80.3667,1
2833,5.2667,1
2839,290.9667,1
2840,2.2333,1
2843,19.6333,1
2851,1506.25,1
2859,798.5,1
2877,518.5167,1
2887,1133.0,1
2894,1.5,1
2899,4060.2,1
2911,8.1,1
2917,3136.2,1
2918,4208.5167,1
2920,22.8,1
2922,433.3167,1
2928,4.0667,1
2929,639.0333,1
2930,1329.0,1
2933,91.9,1
2938,1331.2,1
2943,2284.1333,1
2950,0.2667,1
2954,2844.0,1
2967,3.0333,1
2973,1304.9833,1
2978,70.4667,1
2984,1944.75,1
3002,1377.8833,1
3011,586.3833,1
3016,145.0,1
3017,166.6167,1
3022,507.85,1
