student_id,minutes_watched,paid_in_q2
66,0.7167,0
132,71.9167,0
560,1.3667,0
606,18.1167,0
615,18.9333,0
895,18.4500,0
1020,0.8333,0
1233,16.7667,0
1307,5.5000,0
1516,6.4167,0
1805,0.4333,0
1882,11.3000,0
1965,13.6667,0
1967,0.0667,0
2389,2.0833,0
2454,5.3833,0
2549,40.2167,0
2608,6.1000,0
2788,44.8667,0
3008,11.9500,0
3059,37.0000,0
3271,0.9500,0
3337,26.1500,0
3670,2.6667,0
3761,9.1833,0
3894,0.1833,0
4335,0.2500,0
4808,1.0667,0
4942,33.9667,0
5033,1.1167,0
5069,6.5833,0
5225,0.0667,0
5377,0.1000,0
5549,0.3833,0
5592,0.1333,0
5882,4.7167,0
5888,157.8000,0
5891,7.3333,0
6362,25.8833,0
6381,0.3167,0
6453,19.7333,0
6598,35.1667,0
6608,15.8167,0
6691,0.8500,0
6715,32.8833,0
6764,0.1167,0
6780,2.2000,0
7351,0.6833,0
7400,9.5000,0
7455,0.1000,0
7588,8.6333,0
7622,1.2000,0
7708,0.2667,0
8086,0.0500,0
8275,62.6500,0
8398,8.6833,0
8969,2.0833,0
9151,6.0833,0
9237,165.4667,0
9248,0.2667,0
9293,17.2667,0
10070,0.4500,0
10379,138.8667,0
10593,3.9500,0
10612,0.4000,0
10958,62.7000,0
11020,41.1667,0
11112,6.9833,0
11225,0.1167,0
11528,5.6500,0
11991,4.9167,0
12237,7.1000,0
12372,0.3167,0
12382,0.2167,0
12432,0.1667,0
12668,1.2667,0
12741,11.1667,0
12996,0.1667,0
13128,6.7833,0
13248,0.1000,0
13832,1.7833,0
13948,1.9333,0
14054,0.0667,0
14211,8.5333,0
14354,2.9333,0
14369,0.6667,0
15646,284.0500,0
15705,0.1833,0
15787,10.0167,0
15926,0.4500,0
16565,6.4000,0
16902,0.8167,0
17126,40.3167,0
17254,450.7000,0
17557,0.8667,0
18311,1.3167,0
18700,4.1333,0
19050,161.5833,0
19269,16.4500,0
19677,60.8333,0
20125,3.3500,0
20218,0.8167,0
20365,0.1667,0
20520,7.0000,0
21827,0.0833,0
21865,194.7333,0
22239,0.9333,0
22774,4.3833,0
22959,0.4833,0
23036,3.8000,0
23139,3.8167,0
23609,0.1500,0
24165,11.9667,0
24276,6.0667,0
24597,0.1667,0
24774,0.0500,0
24778,0.0833,0
24972,19.5333,0
25103,0.1833,0
25769,7.3833,0
26002,7.4833,0
26179,49.2500,0
26188,0.2500,0
26296,0.2167,0
27780,0.6667,0
28322,0.2667,0
29444,37.4667,0
29740,0.8500,0
29993,12.3167,0
30084,0.0500,0
30195,41.8167,0
30556,0.0833,0
31491,0.5833,0
32150,0.1833,0
35223,7.4667,0
36300,49.4333,0
38232,1.3333,0
39688,109.4167,0
39769,0.2000,0
40679,0.6167,0
41627,1.0000,0
41851,0.0500,0
42546,1.5333,0
43115,137.6500,0
44751,0.0500,0
45417,11.0667,0
48510,0.0833,0
49639,2.4833,0
50317,0.4167,0
52892,0.4000,0
54036,0.6167,0
54665,0.0500,0
55342,0.1000,0
56168,4.3167,0
57131,5.5667,0
60092,0.0667,0
61522,0.0500,0
61806,0.6333,0
61845,0.0667,0
62186,48.7667,0
62440,0.3500,0
62471,0.0500,0
62525,8.4000,0
62841,0.0500,0
62851,0.8833,0
63538,0.1000,0
64278,0.2000,0
65857,107.7167,0
66318,65.3833,0
67824,1.8500,0
68107,1.9167,0
72221,15.9167,0
72262,0.3000,0
72348,0.1167,0
72838,0.4833,0
74935,35.1000,0
74943,0.0500,0
75252,0.1333,0
78210,72.7167,0
78541,0.1500,0
79351,0.1167,0
81399,3.2500,0
83182,0.1333,0
83276,0.1667,0
86652,0.7167,0
89147,0.0500,0
92582,23.7000,0
93071,3.2333,0
98640,15.3833,0
99070,0.0667,0
102267,13.2833,0
105316,0.3333,0
105502,7.0167,0
106257,5.8667,0
106549,1.7667,0
107454,0.4667,0
110557,30.5667,0
113759,1.1333,0
116556,0.7333,0
117468,0.0833,0
119972,0.0833,0
124556,9.5000,0
126135,0.0500,0
126978,41.5000,0
134943,10.5167,0
135960,0.5833,0
137457,0.7000,0
139015,19.5000,0
140195,22.3500,0
140465,0.5167,0
140676,13.7500,0
143378,4.3000,0
143420,0.1500,0
143488,36.9167,0
143621,8.0000,0
143658,0.1500,0
143965,0.0500,0
143984,2.7167,0
144074,153.5000,0
144578,32.3333,0
144781,3.9500,0
144925,1.5833,0
144937,3.7667,0
145002,0.1000,0
145095,0.0667,0
145377,2.3667,0
145594,9.8500,0
145658,1.1333,0
145665,110.0833,0
145920,31.6833,0
145941,38.2833,0
146141,95.5500,0
146143,9.9500,0
146158,1.3333,0
146202,0.2667,0
146215,10.3500,0
146247,0.1500,0
146289,0.1000,0
146399,24.4333,0
146409,1.2833,0
146499,78.6167,0
146656,0.1667,0
146669,8.2667,0
146708,0.4667,0
146756,40.2833,0
146814,0.4000,0
146943,0.3333,0
146984,2.7167,0
147004,0.0833,0
147088,12.9833,0
147103,17.9333,0
147245,0.1500,0
147275,14.2833,0
147429,6.0500,0
147578,0.1500,0
147639,55.9000,0
147665,2.1500,0
147693,3.8667,0
147762,3.3500,0
147904,4.8333,0
147932,45.7000,0
147941,0.2333,0
147954,10.2500,0
147963,0.1000,0
148006,24.8333,0
148107,36.1833,0
148119,19.3500,0
148137,0.1500,0
148138,2.7000,0
148148,4.5667,0
148149,0.1667,0
148150,1.2833,0
148159,0.1167,0
148170,0.2500,0
148171,1.3833,0
148176,0.5667,0
148195,1.8000,0
148201,0.2333,0
148203,46.1333,0
148219,0.0500,0
148221,0.5000,0
148223,1.0667,0
148225,1.2333,0
148229,16.2667,0
148230,0.1000,0
148231,0.2333,0
148239,0.4000,0
148245,6.6500,0
148258,0.5000,0
148276,0.7333,0
148277,1.4333,0
148292,19.6500,0
148296,0.6500,0
148298,1.2667,0
148307,1.9667,0
148309,72.1667,0
148314,0.1000,0
148318,0.6833,0
148319,0.1333,0
148320,14.8000,0
148321,34.1833,0
148324,18.9167,0
148334,0.5667,0
148341,10.0000,0
148343,0.9500,0
148357,0.5000,0
148363,21.3500,0
148380,0.2667,0
148387,0.0667,0
148390,39.0500,0
148406,37.9500,0
148427,0.4667,0
148433,1.1333,0
148440,0.1000,0
148442,3.3667,0
148448,0.0667,0
148449,0.7000,0
148461,0.0333,0
148469,0.8333,0
148475,0.4667,0
148485,1.5667,0
148487,0.6667,0
148496,0.3500,0
148499,15.7333,0
148505,2.5500,0
148506,2.1167,0
148507,1.6833,0
148512,2.2000,0
